model,bin,date,% buy,% sell,% hold
hgbr,3,2000-03-28,0.4318555008210181,0.4314449917898194,0.13669950738916256
hgbr,3,2000-04-28,0.44218241042345274,0.43526058631921827,0.12255700325732899
hgbr,3,2000-05-28,0.45400475812846947,0.44885011895321175,0.0971451229183188
hgbr,3,2000-06-28,0.4534186325469812,0.445421831267493,0.10115953618552578
hgbr,3,2000-07-28,0.4364754098360656,0.4336065573770492,0.12991803278688524
hgbr,3,2000-08-28,0.44439951475940154,0.440760210270926,0.11484027496967246
hgbr,3,2000-09-28,0.4527622097678142,0.44435548438751,0.10288230584467574
hgbr,3,2000-10-28,0.45581210191082805,0.4518312101910828,0.09235668789808917
hgbr,3,2000-11-28,0.4492344883158743,0.44883158742949236,0.10193392425463337
hgbr,3,2000-12-28,0.4337248322147651,0.4316275167785235,0.13464765100671142
hgbr,3,2001-01-28,0.452914798206278,0.45332246229107215,0.09376273950264982
hgbr,3,2001-02-28,0.40641711229946526,0.40730837789661317,0.18627450980392157
hgbr,3,2001-03-28,0.437791932059448,0.4399150743099788,0.12229299363057325
hgbr,3,2001-04-28,0.40923494794024445,0.4101403349932096,0.18062471706654595
hgbr,3,2001-05-28,0.45,0.45,0.1
hgbr,3,2001-06-28,0.42908117752007136,0.43131132917038356,0.13960749330954506
hgbr,3,2001-07-28,0.4233409610983982,0.4219679633867277,0.15469107551487415
hgbr,3,2001-08-28,0.4254041570438799,0.42448036951501156,0.15011547344110854
hgbr,3,2001-09-28,0.45148427115640233,0.45015507310589276,0.09836065573770492
hgbr,3,2001-10-28,0.4197183098591549,0.4211267605633803,0.1591549295774648
hgbr,3,2001-11-28,0.4428702010968921,0.4428702010968921,0.11425959780621572
hgbr,3,2001-12-28,0.41586538461538464,0.4182692307692308,0.1658653846153846
hgbr,3,2002-01-28,0.4348030018761726,0.43621013133208253,0.12898686679174484
hgbr,3,2002-02-28,0.444392523364486,0.4411214953271028,0.11448598130841121
hgbr,3,2002-03-28,0.4093161546085233,0.41179385530227947,0.17888999008919723
hgbr,3,2002-04-28,0.4469981238273921,0.44840525328330205,0.10459662288930581
hgbr,3,2002-05-28,0.4487482286254133,0.4478034955125177,0.10344827586206896
hgbr,3,2002-06-28,0.4070300560366786,0.4070300560366786,0.1859398879266429
hgbr,3,2002-07-28,0.4334470989761092,0.4353973671379815,0.1311555338859093
hgbr,3,2002-08-28,0.4410480349344978,0.442988840368753,0.11596312469674915
hgbr,3,2002-09-28,0.42251388187783945,0.4235234729934377,0.15396264512872287
hgbr,3,2002-10-28,0.4295065458207452,0.4310171198388721,0.13947633434038267
hgbr,3,2002-11-28,0.43123425692695216,0.4332493702770781,0.1355163727959698
hgbr,3,2002-12-28,0.41896821261073475,0.4174048983845753,0.16362688900468994
hgbr,3,2003-01-28,0.4520276953511375,0.4505440158259149,0.09742828882294757
hgbr,3,2003-02-28,0.41561181434599154,0.4171940928270042,0.16719409282700423
hgbr,3,2003-03-28,0.4091644204851752,0.4102425876010782,0.18059299191374664
